,Unnamed: 0,나이,성별,최종접속일,유입경로,유입기기,회원 가입일,사업자구분,회원구분,주문자ID,Recency,Recency_int,Frequency,Monetary,Total,Rank
23,23,62,남자,2017-03-03 오전 1:57,인터넷기사광고,PC,2017-02-28,사업자,사업자,23V00A1,23 days,23,96,4311150,2155601.1,A
24,24,35,여자,,카카오톡광고,모바일,2017-03-02,개인,일반(수신거부),24V00A1,41 days,41,29,2498860,1249448.1,A
25,25,61,여자,2019-05-30 오후 3:28,인터넷기사광고,PC,2017-03-02,개인,일반,25V00A1,25 days,25,25,1315760,657892.5,B
26,26,69,여자,2019-03-24 오후 11:32,신문광고,PC,2017-03-03,사업자,사업자,26V00A1,29 days,29,48,3017350,1508693.3,A
27,27,44,남자,2017-03-04 오후 1:43,블로그광고,PC,2017-03-04,사업자,사업자,27V00A1,30 days,30,31,997570,498800.2,B
28,28,48,남자,2017-03-06 오후 2:17,블로그광고,모바일,2017-03-06,개인,일반,28V00A1,20 days,20,35,2489070,1244548.0,A
29,29,47,남자,2017-03-06 오후 12:35,블로그광고,PC,2017-03-06,개인,일반,29V00A1,36 days,36,55,3081310,1540676.8,A
30,30,40,남자,2019-05-03 오전 4:06,인터넷기사광고,PC,2017-03-08,사업자,사업자,30V00A1,20 days,20,56,3289780,1644907.2,A
31,31,47,여자,2017-03-13 오후 11:50,SNS광고,모바일,2017-03-13,개인,일반,31V00A1,71 days,71,50,4969640,2484851.3,A
32,32,47,여자,2017-03-13 오후 7:14,SNS광고,모바일,2017-03-13,개인,일반,32V00A1,34 days,34,34,2644480,1322257.0,A
33,33,38,남자,2017-04-06 오후 3:56,SNS광고,모바일,2017-03-15,사업자,사업자,33V00A1,28 days,28,126,9417240,4708653.6,A
34,34,47,여자,2017-03-16 오전 12:14,SNS광고,모바일,2017-03-16,개인,일반,34V00A1,20 days,20,197,14615130,7307610.4,A
35,35,29,여자,2017-03-18 오후 4:12,이메일광고,PC,2017-03-18,개인,일반,35V00A1,21 days,21,66,4911860,2455949.5,A
36,36,43,남자,2017-03-21 오후 2:09,블로그광고,PC,2017-03-21,개인,일반,36V00A1,29 days,29,94,11336890,5668472.5,A
37,37,40,남자,2019-05-03 오후 2:15,인터넷기사광고,PC,2017-03-21,사업자,특별회원,37V00A1,36 days,36,82,4385860,2192957.2,A
38,38,37,남자,2017-07-05 오후 2:19,신문광고,PC,2017-03-23,사업자,사업자,38V00A1,22 days,22,50,2804690,1402361.6,A
39,39,36,남자,2017-10-06 오후 4:33,카카오톡광고,모바일,2017-03-23,사업자,사업자,39V00A1,26 days,26,25,2217690,1108857.8,A
40,40,44,남자,2017-10-25 오전 11:00,블로그광고,PC,2017-03-24,사업자,사업자,40V00A1,29 days,29,10,658960,329490.7,B
41,41,47,남자,2017-03-26 오후 8:34,SNS광고,모바일,2017-03-26,개인,일반,41V00A1,40 days,40,53,2590780,1295412.6,A
42,42,38,여자,2017-03-26 오전 8:14,신문광고,PC,2017-03-26,사업자,사업자,42V00A1,22 days,22,40,3741460,1870744.6,A
43,43,38,남자,2017-08-30 오후 1:22,SNS광고,모바일,2017-03-26,개인,일반,43V00A1,27 days,27,42,3159660,1579846.5,A
44,44,46,남자,2019-03-24 오후 6:23,블로그광고,PC,2017-03-28,개인,일반,44V00A1,28 days,28,129,9359740,4679904.2,A
45,45,47,여자,2017-03-28 오후 12:41,SNS광고,모바일,2017-03-28,개인,일반,45V00A1,42 days,42,14,742790,371410.4,B
46,46,41,남자,2018-03-05 오전 11:51,인터넷기사광고,PC,2017-03-28,사업자,사업자,46V00A1,20 days,20,103,7555310,3777681.6,A
47,47,47,여자,2017-03-28 오전 11:14,블로그광고,PC,2017-03-28,개인,일반,47V00A1,28 days,28,13,741310,370666.0,B
48,48,44,남자,2018-11-13 오후 7:49,블로그광고,PC,2017-03-28,개인,일반,48V00A1,168 days,168,11,810390,405247.6,B
49,49,47,여자,2017-03-29 오전 3:38,SNS광고,모바일,2017-03-29,개인,일반,49V00A1,43 days,43,15,1521600,760815.9,A
50,50,40,남자,2019-05-13 오후 12:00,인터넷기사광고,PC,2017-03-29,개인,전화주문 고객,50V00A1,22 days,22,214,19956830,9978464.4,A
51,51,47,남자,2017-03-29 오후 6:36,블로그광고,PC,2017-03-29,개인,일반,51V00A1,168 days,168,10,1262800,631452.4,B
52,52,38,여자,,SNS광고,모바일,2017-03-29,개인,일반,52V00A1,168 days,168,3,132210,66156.0,D
53,53,29,남자,2017-08-16 오후 3:10,이메일광고,PC,2017-03-30,개인,일반,53V00A1,98 days,98,24,924780,462424.2,B
54,54,44,남자,2017-04-03 오후 3:11,블로그광고,PC,2017-04-03,사업자,사업자,54V00A1,75 days,75,63,8659670,4329870.1,A
55,55,47,여자,2017-04-05 오전 10:35,SNS광고,모바일,2017-04-05,개인,일반,55V00A1,77 days,77,21,1834370,917212.3,A
56,56,45,남자,2017-04-17 오후 2:56,SNS광고,모바일,2017-04-05,사업자,사업자,56V00A1,63 days,63,54,3709260,1854659.7,A
57,57,43,남자,2017-04-06 오후 3:03,블로그광고,PC,2017-04-06,사업자,사업자(수신거부),57V00A1,157 days,157,41,3591450,1795780.3,A
58,58,52,여자,2017-04-09 오후 3:52,블로그광고,모바일,2017-04-09,개인,일반,58V00A1,20 days,20,163,9105510,4552793.6,A
59,59,39,여자,2019-05-17 오전 9:49,인터넷기사광고,PC,2017-04-09,사업자,사업자,59V00A1,23 days,23,30,1862550,931287.9,A
60,60,48,남자,2017-04-10 오후 11:32,블로그광고,PC,2017-04-10,개인,일반,60V00A1,28 days,28,152,7903800,3951938.8,A
61,61,37,남자,2018-12-31 오후 3:38,SNS광고,모바일,2017-04-11,개인,일반,61V00A1,36 days,36,6,353970,176997.0,C
62,62,47,남자,2017-04-12 오전 9:59,SNS광고,모바일,2017-04-11,개인,일반,62V00A1,21 days,21,52,4052180,2026106.7,A
63,63,58,남자,2017-04-11 오후 2:47,인터넷기사광고,PC,2017-04-11,사업자,사업자,63V00A1,70 days,70,26,937210,468631.2,B
64,64,42,여자,2017-10-10 오전 10:44,블로그광고,PC,2017-04-12,사업자,사업자,64V00A1,161 days,161,10,733690,366895.3,B
65,65,47,여자,2017-04-13 오전 2:18,SNS광고,모바일,2017-04-13,개인,일반,65V00A1,20 days,20,17,1440600,720309.4,A
66,66,36,남자,2018-08-16 오전 10:45,이메일광고,PC,2017-04-13,사업자,사업자,66V00A1,168 days,168,1,132500,66300.6,D
67,67,47,남자,2017-04-14 오후 3:15,블로그광고,PC,2017-04-14,개인,일반,67V00A1,110 days,110,11,421890,210980.2,C
68,68,47,남자,2019-02-12 오전 12:09,SNS광고,모바일,2017-04-14,개인,일반,68V00A1,36 days,36,36,2749790,1374913.0,A
69,69,44,남자,2018-03-12 오전 10:28,블로그광고,PC,2017-04-17,사업자,사업자,69V00A1,168 days,168,2,259770,129935.8,C
70,70,47,여자,2018-03-15 오후 11:52,블로그광고,PC,2017-04-17,개인,일반,70V00A1,19 days,19,197,12080490,6040290.1,A
71,71,42,남자,2018-04-06 오후 1:54,블로그광고,PC,2017-04-18,사업자,사업자,71V00A1,132 days,132,9,540720,270401.4,B
72,72,47,여자,2017-04-19 오후 8:51,블로그광고,PC,2017-04-19,개인,일반,72V00A1,168 days,168,12,1296290,648197.8,B
73,73,46,여자,2017-11-26 오후 9:43,블로그광고,PC,2017-04-19,사업자,사업자,73V00A1,21 days,21,67,6972230,3486134.7,A
74,74,46,남자,2017-08-09 오전 9:11,블로그광고,PC,2017-04-20,개인,일반,74V00A1,58 days,58,11,255130,127584.6,C
75,75,47,여자,2017-04-20 오후 9:56,SNS광고,모바일,2017-04-20,개인,일반,75V00A1,56 days,56,18,986040,493040.4,B
76,76,42,남자,2018-03-17 오후 8:41,블로그광고,PC,2017-04-20,사업자,사업자,76V00A1,168 days,168,3,99650,49876.0,D
77,77,51,남자,2017-04-20 오후 10:01,블로그광고,모바일,2017-04-20,개인,일반,77V00A1,23 days,23,98,9389980,4695016.5,A
78,78,47,남자,2017-04-24 오전 11:27,블로그광고,PC,2017-04-24,개인,일반,78V00A1,168 days,168,2,215820,107960.8,C
79,79,47,여자,2017-04-24 오전 1:11,SNS광고,모바일,2017-04-24,개인,일반,79V00A1,37 days,37,62,5412570,2706308.5,A
80,80,35,여자,2017-05-22 오전 1:21,이메일광고,PC,2017-04-24,개인,일반,80V00A1,168 days,168,1,83550,41825.6,D
81,81,32,남자,2019-05-09 오전 11:29,이메일광고,PC,2017-04-24,사업자,사업자,81V00A1,140 days,140,24,1021470,510781.8,B
82,82,33,남자,2018-04-25 오후 1:16,이메일광고,PC,2017-04-25,사업자,사업자,82V00A1,75 days,75,6,474170,237108.7,B
83,83,46,남자,2019-01-25 오전 7:13,SNS광고,모바일,2017-04-25,사업자,사업자,83V00A1,23 days,23,29,3392110,1696067.7,A
84,84,31,여자,2017-04-26 오후 1:47,카카오톡광고,모바일,2017-04-26,사업자,사업자,84V00A1,20 days,20,58,3928020,1964027.6,A
85,85,51,남자,2017-04-27 오후 12:50,블로그광고,PC,2017-04-26,사업자,사업자,85V00A1,41 days,41,50,2457270,1228657.3,A
86,86,47,남자,2017-04-27 오후 4:18,블로그광고,PC,2017-04-27,개인,일반,86V00A1,36 days,36,51,2598540,1299291.0,A
87,87,40,남자,2017-04-27 오후 7:03,인터넷기사광고,PC,2017-04-27,사업자,특별회원,87V00A1,36 days,36,4,432030,216026.6,B
88,88,32,여자,2019-05-16 오후 1:01,카카오톡광고,모바일,2017-05-03,개인,일반,88V00A1,168 days,168,2,142070,71085.8,D
89,89,40,여자,2019-05-23 오전 11:43,인터넷기사광고,PC,2017-05-03,개인,일반,89V00A1,51 days,51,21,1307200,653619.5,B
90,90,47,남자,2017-05-10 오후 9:23,SNS광고,모바일,2017-05-04,개인,일반,90V00A1,91 days,91,6,448070,224063.5,B
91,91,47,여자,2017-05-04 오후 10:53,블로그광고,PC,2017-05-04,개인,일반,91V00A1,27 days,27,82,4518900,2259474.5,A
92,92,48,남자,2017-05-05 오후 9:09,블로그광고,PC,2017-05-05,개인,일반,92V00A1,21 days,21,72,5227230,2613635.7,A
93,93,47,남자,2017-05-05 오후 4:38,블로그광고,PC,2017-05-05,개인,일반,93V00A1,22 days,22,14,1448850,724434.4,A
94,94,45,남자,2017-08-07 오후 2:15,SNS광고,모바일,2017-05-06,개인,일반,94V00A1,168 days,168,1,132500,66300.6,D
95,95,35,남자,2017-10-31 오후 6:00,카카오톡광고,모바일,2017-05-06,개인,일반,95V00A1,168 days,168,2,190740,95420.8,D
96,96,44,남자,2017-05-06 오후 8:07,블로그광고,PC,2017-05-06,사업자,사업자,96V00A1,30 days,30,20,1827580,913803.0,A
97,97,56,여자,,블로그광고,모바일,2017-05-06,개인,일반,97V00A1,93 days,93,6,452490,226274.1,B
98,98,47,여자,2017-05-08 오후 6:16,SNS광고,모바일,2017-05-08,개인,일반,98V00A1,30 days,30,15,1028700,514362.0,B
99,99,47,여자,2017-05-08 오후 8:22,SNS광고,모바일,2017-05-08,개인,일반,99V00A1,34 days,34,18,880120,440073.8,B
100,100,34,남자,2019-05-20 오후 8:50,이메일광고,PC,2017-05-08,사업자,사업자,100V00A1,164 days,164,11,583010,291556.4,B
101,101,42,남자,2019-05-15 오후 1:46,블로그광고,PC,2017-05-08,개인,일반,101V00A1,41 days,41,54,3414890,1707468.1,A
102,102,47,남자,2018-07-23 오후 8:57,SNS광고,모바일,2017-05-09,개인,일반,102V00A1,25 days,25,22,1211120,605571.9,B
103,103,48,남자,2017-05-09 오후 7:40,블로그광고,PC,2017-05-09,개인,일반,103V00A1,21 days,21,90,5534280,2767164.3,A
104,104,47,여자,2017-05-23 오후 2:51,블로그광고,PC,2017-05-10,개인,일반,104V00A1,20 days,20,28,1464850,732436.6,A
105,105,47,여자,2017-05-10 오후 3:14,블로그광고,PC,2017-05-10,개인,일반,105V00A1,168 days,168,2,143720,71910.8,D
106,106,35,남자,2017-05-10 오후 3:23,이메일광고,PC,2017-05-10,개인,일반,106V00A1,26 days,26,74,5686340,2843192.6,A
107,107,60,남자,2018-01-10 오후 12:43,인터넷기사광고,PC,2017-05-10,사업자,사업자,107V00A1,23 days,23,55,2937860,1468947.9,A
108,108,50,여자,2017-05-10 오후 12:38,블로그광고,PC,2017-05-10,사업자,사업자,108V00A1,21 days,21,295,18373280,9186705.3,A
109,109,45,남자,2017-08-29 오후 8:20,블로그광고,PC,2017-05-10,사업자,사업자,109V00A1,29 days,29,54,3537370,1768704.5,A
110,110,47,남자,2017-05-11 오후 4:43,블로그광고,PC,2017-05-11,개인,일반,110V00A1,23 days,23,54,3126910,1563472.7,A
111,111,47,여자,2018-01-16 오후 7:19,SNS광고,모바일,2017-05-11,개인,일반,111V00A1,20 days,20,42,1993330,996679.4,A
112,112,55,여자,,블로그광고,PC,2017-05-11,사업자,사업자,112V00A1,37 days,37,6,400400,200212.3,C
113,113,75,남자,2018-02-06 오후 2:10,신문광고,모바일,2017-05-11,개인,일반,113V00A1,112 days,112,42,2580290,1290187.0,A
114,114,53,여자,,블로그광고,모바일,2017-05-12,사업자,사업자,114V00A1,24 days,24,17,1226270,613145.6,B
115,115,46,여자,2017-05-15 오후 3:55,블로그광고,PC,2017-05-15,사업자,사업자,115V00A1,20 days,20,32,2117390,1058707.4,A
116,116,47,남자,2017-07-17 오전 10:59,SNS광고,모바일,2017-05-16,개인,일반,116V00A1,27 days,27,45,6204260,3102147.1,A
117,117,33,남자,2018-07-21 오후 5:30,이메일광고,PC,2017-05-16,사업자,사업자,117V00A1,48 days,48,47,3456030,1728038.8,A
118,118,47,여자,2017-05-17 오후 10:51,SNS광고,모바일,2017-05-17,개인,일반,118V00A1,58 days,58,79,3800420,1900243.2,A
119,119,47,남자,2017-05-17 오후 8:47,블로그광고,PC,2017-05-17,개인,일반,119V00A1,64 days,64,27,2066350,1033199.6,A
120,120,40,남자,2018-06-19 오후 1:24,인터넷기사광고,PC,2017-05-17,사업자,사업자,120V00A1,29 days,29,42,4521410,2260722.1,A
121,121,40,남자,2017-05-26 오전 10:11,인터넷기사광고,PC,2017-05-17,사업자,특별회원,121V00A1,167 days,167,6,233030,116566.3,C
122,122,46,남자,2017-05-26 오전 9:46,블로그광고,PC,2017-05-17,사업자,사업자,122V00A1,40 days,40,17,1385890,692960.4,B
123,123,47,남자,2017-05-18 오후 6:21,SNS광고,모바일,2017-05-18,개인,일반,123V00A1,23 days,23,30,3798680,1899352.9,A
124,124,45,남자,2017-05-21 오후 10:26,블로그광고,PC,2017-05-21,사업자,사업자,124V00A1,34 days,34,66,2977610,1488828.4,A
125,125,47,여자,,SNS광고,모바일,2017-05-21,개인,일반,125V00A1,21 days,21,33,2013770,1006897.9,A
126,126,52,여자,2017-05-21 오전 12:46,블로그광고,모바일,2017-05-21,사업자,사업자,126V00A1,51 days,51,55,2729210,1364631.3,A
127,127,39,남자,2018-10-29 오후 12:40,인터넷기사광고,PC,2017-05-21,사업자,사업자,127V00A1,167 days,167,24,1803480,901794.9,A
128,128,47,여자,2017-07-05 오후 1:39,SNS광고,모바일,2017-05-22,사업자,사업자,128V00A1,164 days,164,69,12483840,6241983.0,A
129,129,47,여자,2017-05-25 오전 10:24,블로그광고,PC,2017-05-22,개인,일반,129V00A1,167 days,167,7,438900,219501.5,B
130,130,39,여자,2017-05-22 오후 5:10,SNS광고,모바일,2017-05-22,개인,일반,130V00A1,35 days,35,76,4779510,2389780.7,A
131,131,44,남자,2017-05-22 오전 12:23,블로그광고,PC,2017-05-22,사업자,사업자,131V00A1,142 days,142,10,533450,266769.6,B
132,132,43,남자,2019-05-31 오전 11:16,SNS광고,모바일,2017-05-23,개인,일반,132V00A1,167 days,167,1,87180,43640.3,D
133,133,34,여자,2017-05-23 오후 4:23,이메일광고,PC,2017-05-23,개인,사업자,133V00A1,22 days,22,115,8912690,4456374.6,A
134,134,40,남자,2017-06-20 오전 8:46,인터넷기사광고,PC,2017-05-23,사업자,사업자,134V00A1,28 days,28,9,335380,167700.2,C
135,135,39,여자,2019-05-31 오전 2:17,SNS광고,모바일,2017-05-23,개인,사업자,135V00A1,21 days,21,44,2259480,1129755.1,A
136,136,54,여자,2017-05-24 오후 8:28,블로그광고,PC,2017-05-24,개인,일반,136V00A1,19 days,19,251,18170120,9085115.9,A
137,137,42,여자,,SNS광고,모바일,2017-05-24,사업자,사업자,137V00A1,20 days,20,65,3292700,1646369.0,A
138,138,42,남자,2017-05-25 오후 11:34,SNS광고,모바일,2017-05-25,개인,사업자,138V00A1,22 days,22,18,917700,458860.2,B
139,139,43,남자,2017-05-26 오후 5:47,블로그광고,PC,2017-05-25,사업자,사업자,139V00A1,106 days,106,12,1058750,529409.2,B
140,140,43,남자,2017-05-25 오후 1:21,SNS광고,모바일,2017-05-25,사업자,사업자,140V00A1,55 days,55,9,1016600,508318.3,B
141,141,39,남자,2017-08-22 오후 7:40,인터넷기사광고,PC,2017-05-26,사업자,사업자,141V00A1,58 days,58,23,1048240,524142.0,B
142,142,43,여자,2017-05-27 오전 7:01,SNS광고,모바일,2017-05-27,개인,사업자,142V00A1,27 days,27,135,10028100,5014085.1,A
143,143,46,여자,2017-07-06 오후 6:52,SNS광고,모바일,2017-05-27,사업자,사업자,143V00A1,27 days,27,114,13802630,6901345.9,A
144,144,44,남자,2017-05-28 오후 12:58,SNS광고,모바일,2017-05-28,개인,사업자,144V00A1,22 days,22,47,4093850,2046941.0,A
145,145,29,남자,2019-04-03 오후 8:19,카카오톡광고,모바일,2017-05-28,개인,사업자,145V00A1,125 days,125,49,11331390,5665742.3,A
146,146,44,여자,2017-11-17 오전 10:03,블로그광고,PC,2017-05-29,개인,사업자,146V00A1,128 days,128,14,870690,435386.2,B
147,147,44,남자,2017-06-04 오후 11:49,블로그광고,PC,2017-05-30,개인,사업자,147V00A1,45 days,45,65,4283000,2141526.5,A
148,148,47,여자,2017-05-30 오후 4:23,SNS광고,모바일,2017-05-30,개인,일반,148V00A1,167 days,167,24,1176690,588399.9,B
149,149,34,남자,2017-05-30 오후 5:44,이메일광고,PC,2017-05-30,사업자,사업자,149V00A1,22 days,22,38,1750340,875184.2,A
150,150,40,남자,2019-05-30 오후 2:31,인터넷기사광고,PC,2017-05-30,사업자,사업자,150V00A1,48 days,48,74,4789990,2395024.2,A
151,151,44,남자,2018-05-21 오전 10:57,블로그광고,PC,2017-05-30,사업자,사업자,151V00A1,22 days,22,30,2533980,1267002.6,A
152,152,43,여자,2017-05-30 오후 3:54,SNS광고,모바일,2017-05-30,사업자,사업자,152V00A1,138 days,138,22,1379950,690020.8,B
153,153,41,남자,2017-06-12 오후 7:02,인터넷기사광고,PC,2017-05-30,개인,사업자,153V00A1,126 days,126,90,7066450,3533280.8,A
154,154,44,남자,2017-06-01 오후 3:16,블로그광고,PC,2017-06-01,개인,사업자,154V00A1,27 days,27,96,11672260,5836157.3,A
155,155,47,여자,2017-07-10 오후 10:11,블로그광고,PC,2017-06-01,개인,일반,155V00A1,33 days,33,11,564620,282322.1,B
156,156,40,여자,2017-06-01 오후 10:36,SNS광고,모바일,2017-06-01,개인,사업자,156V00A1,31 days,31,63,4524650,2262346.9,A
157,157,48,여자,2017-06-01 오후 7:13,블로그광고,PC,2017-06-01,개인,일반,157V00A1,20 days,20,14,548430,274223.8,B
158,158,46,남자,2017-06-07 오후 4:16,블로그광고,PC,2017-06-02,개인,사업자,158V00A1,28 days,28,45,5984930,2992482.4,A
159,159,26,여자,2018-11-09 오후 5:49,카카오톡광고,모바일,2017-06-02,사업자,사업자,159V00A1,167 days,167,15,979290,489698.1,B
160,160,44,여자,2017-06-06 오후 9:51,블로그광고,PC,2017-06-02,사업자,사업자,160V00A1,21 days,21,48,2515220,1257625.9,A
161,161,44,남자,2017-06-02 오전 3:40,블로그광고,PC,2017-06-02,사업자,사업자,161V00A1,24 days,24,34,1345580,672804.0,B
162,162,41,여자,2017-06-15 오후 12:19,인터넷기사광고,PC,2017-06-03,개인,사업자,162V00A1,34 days,34,80,3305370,1652711.2,A
163,163,45,남자,2018-02-13 오후 1:15,SNS광고,모바일,2017-06-03,사업자,사업자,163V00A1,113 days,113,23,1994320,997198.5,A
164,164,41,여자,,인터넷기사광고,PC,2017-06-03,개인,일반,164V00A1,34 days,34,18,723710,361868.8,B
165,165,47,여자,2017-06-05 오후 11:14,SNS광고,모바일,2017-06-05,개인,일반,165V00A1,20 days,20,94,6026520,3013284.8,A
166,166,45,남자,2019-03-02 오후 3:10,SNS광고,모바일,2017-06-05,개인,일반,166V00A1,22 days,22,145,8550360,4275215.6,A
167,167,29,여자,2017-06-14 오후 5:04,이메일광고,PC,2017-06-05,사업자,사업자,167V00A1,37 days,37,11,646390,323208.3,B
168,168,46,여자,2017-06-05 오후 7:53,블로그광고,PC,2017-06-05,사업자,사업자,168V00A1,32 days,32,20,1296320,648173.6,B
169,169,44,남자,2017-06-13 오후 1:55,블로그광고,PC,2017-06-07,사업자,사업자,169V00A1,167 days,167,2,147850,73975.5,D
170,170,53,남자,2017-06-21 오후 3:09,블로그광고,PC,2017-06-08,개인,사업자,170V00A1,21 days,21,19,1107560,553790.1,B
171,171,41,남자,2019-02-07 오후 12:37,SNS광고,모바일,2017-06-08,사업자,사업자,171V00A1,59 days,59,19,1633590,816816.5,A
172,172,40,남자,2017-06-09 오후 4:53,인터넷기사광고,PC,2017-06-08,사업자,사업자,172V00A1,167 days,167,4,398700,199400.9,C
173,173,26,남자,2018-02-19 오전 1:08,이메일광고,PC,2017-06-09,사업자,사업자,173V00A1,43 days,43,9,636950,318489.7,B
174,174,47,남자,2018-04-11 오전 11:57,블로그광고,PC,2017-06-09,개인,일반,174V00A1,125 days,125,31,2063350,1031718.7,A
175,175,42,남자,2017-11-27 오전 9:47,블로그광고,PC,2017-06-09,개인,사업자,175V00A1,41 days,41,12,923200,461614.7,B
176,176,32,남자,2017-09-07 오후 2:01,이메일광고,PC,2017-06-09,사업자,사업자,176V00A1,20 days,20,20,1753220,876620.0,A
177,177,46,남자,2017-06-09 오후 3:17,블로그광고,PC,2017-06-09,사업자,사업자,177V00A1,28 days,28,82,4915500,2457774.8,A
178,178,44,남자,2017-06-18 오후 7:37,블로그광고,PC,2017-06-09,사업자,사업자,178V00A1,21 days,21,99,11692350,5846201.1,A
179,179,47,여자,2017-06-10 오후 4:01,블로그광고,PC,2017-06-10,개인,일반,179V00A1,19 days,19,23,914390,457205.3,B
180,180,50,여자,2017-06-10 오전 10:34,블로그광고,모바일,2017-06-10,개인,사업자,180V00A1,167 days,167,6,298160,149131.3,C
181,181,52,남자,2019-07-03 오후 2:31,블로그광고,모바일,2017-06-11,사업자,사업자,181V00A1,167 days,167,1,82170,41135.3,D
182,182,38,여자,,SNS광고,모바일,2017-06-11,개인,일반,182V00A1,20 days,20,267,28488580,14244349.4,A
183,183,54,남자,2017-06-13 오후 8:32,블로그광고,모바일,2017-06-12,사업자,사업자,183V00A1,50 days,50,38,3216680,1608362.6,A
184,184,44,남자,2017-06-12 오후 12:33,SNS광고,모바일,2017-06-12,사업자,사업자,184V00A1,23 days,23,16,958420,479220.1,B
185,185,35,남자,2018-03-05 오후 3:40,이메일광고,PC,2017-06-12,사업자,사업자,185V00A1,167 days,167,9,387330,193716.9,C
186,186,43,남자,2017-10-14 오후 4:20,블로그광고,PC,2017-06-12,사업자,사업자,186V00A1,34 days,34,20,1145620,572824.2,B
187,187,43,여자,2017-06-13 오후 8:51,블로그광고,PC,2017-06-13,개인,사업자,187V00A1,113 days,113,6,810820,405445.1,B
188,188,47,여자,2017-06-16 오전 9:49,블로그광고,PC,2017-06-14,개인,일반,188V00A1,20 days,20,76,4774740,2387391.2,A
189,189,34,남자,2017-06-16 오후 12:45,카카오톡광고,모바일,2017-06-16,사업자,사업자,189V00A1,117 days,117,37,2141330,1070707.5,A
190,190,43,남자,2018-08-16 오전 10:51,블로그광고,PC,2017-06-16,사업자,사업자,190V00A1,56 days,56,17,955770,477905.2,B
191,191,47,여자,2017-06-17 오후 11:38,SNS광고,모바일,2017-06-17,개인,일반,191V00A1,34 days,34,26,1780600,890315.4,A
192,192,33,남자,2018-01-22 오후 1:37,이메일광고,PC,2017-06-18,사업자,사업자,192V00A1,68 days,68,24,1423820,711935.2,A
